200304130191-012	1019	1019	2003/4/13	7	1002271	2	6.6	13.2
200304130192-012	1019	1019	2003/4/13	1	1010097	0.648	21.2	13.7376
200304130192-012	1019	1019	2003/4/13	2	1041141	1	3.1	3.1
200304130192-012	1019	1019	2003/4/13	3	1014075	1	2.9	2.9
200304130193-012	1019	1019	2003/4/13	1	1000113	1	3.5	3.5
200304130193-012	1019	1019	2003/4/13	2	1044396	1	6	6
200304130193-012	1019	1019	2003/4/13	3	1010481	1	10.4	10.4
200304130193-012	1019	1019	2003/4/13	4	1002753	1	6	6
200304130193-012	1019	1019	2003/4/13	5	1040119	0.514	18.6	9.5604
200304130194-012	1019	1019	2003/4/13	1	1027807	2	126.8	253.6
200304130195-012	1019	1019	2003/4/13	3	1013633	1	1.6	1.6
200304130195-012	1019	1019	2003/4/13	4	1021352	1	2.2	2.2
200304130195-012	1019	1019	2003/4/13	5	1044430	2	1	2
200304130196-012	1019	1019	2003/4/13	1	1000611	1	18.3	18.3
200304130196-012	1019	1019	2003/4/13	2	1047325	1	12.9	12.9
200304130196-012	1019	1019	2003/4/13	3	1014234	1	11	11
200304130196-012	1019	1019	2003/4/13	4	1000943	1	97.9	97.9
200304130197-012	1019	1019	2003/4/13	1	1020106	1	5	5
200304130198-012	1019	1019	2003/4/13	1	1005563	2	0.9	1.8
200304130198-012	1019	1019	2003/4/13	2	1004587	1	1.5	1.5
200304130198-012	1019	1019	2003/4/13	3	1029132	1	4.8	4.8
200304130199-012	1019	1019	2003/4/13	1	1027549	1	18.1	18.1
200304130199-012	1019	1019	2003/4/13	2	1046315	1	10.9	10.9
200304130199-012	1019	1019	2003/4/13	3	1004962	1	33.8	33.8
200304130199-012	1019	1019	2003/4/13	4	1048763	1	29.4	29.4
200304130199-012	1019	1019	2003/4/13	5	1002351	2	5.9	11.8
200304130199-012	1019	1019	2003/4/13	6	1048881	1	3.4	3.4
200304130200-012	1019	1019	2003/4/13	2	1003822	1	4.1	4.1
200304130200-012	1019	1019	2003/4/13	3	1017307	1	2.8	2.8
200304130200-012	1019	1019	2003/4/13	4	1008062	1	2.1	2.1
200304130200-012	1019	1019	2003/4/13	7	1035034	1	3.3	3.3
200304130200-012	1019	1019	2003/4/13	8	1031436	1	1.65	1.65
200304130200-012	1019	1019	2003/4/13	9	1004871	1	1.65	1.65
200304130200-012	1019	1019	2003/4/13	10	1031004	1	4.2	4.2
200304130201-012	1019	1019	2003/4/13	8	1013667	1	1	1
200304130202-012	1019	1019	2003/4/13	1	1025695	0.2	67.2	13.44
200304130202-012	1019	1019	2003/4/13	2	1025377	0.0511	68	3.4748
200304130203-012	1019	1019	2003/4/13	1	1014953	1	2.4	2.4
200304130203-012	1019	1019	2003/4/13	2	1036658	4	1.5	6
200304130203-012	1019	1019	2003/4/13	3	1006912	1	0.5	0.5
200304130203-012	1019	1019	2003/4/13	4	1007913	2	1.5	3
200304130203-012	1019	1019	2003/4/13	5	1021875	1	3	3
200304130203-012	1019	1019	2003/4/13	6	1003981	2	1.6	3.2
200304130203-012	1019	1019	2003/4/13	7	1038231	10	0.7	7
200304130203-012	1019	1019	2003/4/13	8	1032600	5	1.2	6
200304130204-012	1019	1019	2003/4/13	2	1037972	1	14	14
200304130204-012	1019	1019	2003/4/13	3	1030585	1	8.7	8.7
200304130205-012	1019	1019	2003/4/13	1	1040493	1	3.8	3.8
200304130205-012	1019	1019	2003/4/13	2	1002163	1	3	3
200304130205-012	1019	1019	2003/4/13	3	1038304	1	8.8	8.8
200304130205-012	1019	1019	2003/4/13	4	1014962	1	2.6	2.6
200304130205-012	1019	1019	2003/4/13	5	1002259	1	13.5	13.5
200304130206-012	1019	1019	2003/4/13	1	1008675	0.102	15	1.53
200304130206-012	1019	1019	2003/4/13	3	1036257	1	3.1	3.1
200304130206-012	1019	1019	2003/4/13	4	1030589	1	3.5	3.5
200304130207-012	1019	1019	2003/4/13	1	1035418	1	13.5	13.5
200304130207-012	1019	1019	2003/4/13	2	1001958	1	2.6	2.6
200304130208-012	1019	1019	2003/4/13	1	1033200	1	3.1	3.1
200304130208-012	1019	1019	2003/4/13	2	1013719	1	3.8	3.8
200304130208-012	1019	1019	2003/4/13	3	1048392	1	2.8	2.8
200304130208-012	1019	1019	2003/4/13	4	1048315	2	2	4
200304130208-012	1019	1019	2003/4/13	5	1040010	1	2.8	2.8
200304130208-012	1019	1019	2003/4/13	6	1022460	0.402	18	7.236
200304130208-012	1019	1019	2003/4/13	7	1040527	2	2.5	5
200304130209-012	1019	1019	2003/4/13	1	1008643	0.452	25.4	11.4808
200304130210-012	1019	1019	2003/4/13	1	1023762	0.792	13	10.296
200304130210-012	1019	1019	2003/4/13	2	1041162	24	2.2	52.8
200304130211-012	1019	1019	2003/4/13	1	1009582	1	3.6	3.6
200304130211-012	1019	1019	2003/4/13	2	1031965	1	8.8	8.8
200304130211-012	1019	1019	2003/4/13	3	1002187	1	17.8	17.8
200304130211-012	1019	1019	2003/4/13	4	1038987	1	4.8	4.8
200304130211-012	1019	1019	2003/4/13	5	1001090	1	1.9	1.9
200304130211-012	1019	1019	2003/4/13	6	1001020	1	2.2	2.2
200304130211-012	1019	1019	2003/4/13	7	1048668	1	1.4	1.4
200304130211-012	1019	1019	2003/4/13	8	1007997	1	1.9	1.9
200304130211-012	1019	1019	2003/4/13	9	1031592	1	2.1	2.1
200304130211-012	1019	1019	2003/4/13	10	1004261	1	1.5	1.5
200304130211-012	1019	1019	2003/4/13	11	1036507	1	2.2	2.2
200304130211-012	1019	1019	2003/4/13	12	1041017	1	2.1	2.1
200304130212-012	1019	1019	2003/4/13	1	1048389	-0.23	17.9	-4.117
200304130212-012	1019	1019	2003/4/13	4	1021779	0.094	24.8	2.3312
200304130212-012	1019	1019	2003/4/13	5	1032907	0.296	15.2	4.4992
200304130212-012	1019	1019	2003/4/13	6	1046119	1	6.4	6.4
200304130212-012	1019	1019	2003/4/13	7	1003146	1	6	6
200304130212-012	1019	1019	2003/4/13	8	1036277	2	1.5	3
200304130212-012	1019	1019	2003/4/13	9	1036278	2	1.5	3
200304130212-012	1019	1019	2003/4/13	10	1039988	1	6.2	6.2
200304130212-012	1019	1019	2003/4/13	12	1005009	1	3	3
200304130213-012	1019	1019	2003/4/13	1	1039888	1	13.1	13.1
200304130213-012	1019	1019	2003/4/13	2	1042350	1	46	46
200304140002-012	1019	1019	2003/4/14	1	1002663	1	26.9	26.9
200304140002-012	1019	1019	2003/4/14	2	1036072	1	17.5	17.5
200304140002-012	1019	1019	2003/4/14	3	1021160	1	6.2	6.2
200304140003-012	1019	1019	2003/4/14	1	1021160	1	6.2	6.2
200304140003-012	1019	1019	2003/4/14	2	1017307	1	2.8	2.8
200304140005-012	1019	1019	2003/4/14	2	1032064	1	7.1	7.1
200304140005-012	1019	1019	2003/4/14	3	1016244	3	2.5	7.5
200304140005-012	1019	1019	2003/4/14	6	1015062	1	1.6	1.6
200304140005-012	1019	1019	2003/4/14	7	1007650	3	4.2	12.6
200304140005-012	1019	1019	2003/4/14	8	1041149	1	4.6	4.6
200304140005-012	1019	1019	2003/4/14	9	1021314	1	4.4	4.4
200304140006-012	1019	1019	2003/4/14	3	1025012	1	4.3	4.3
200304140006-012	1019	1019	2003/4/14	4	1040712	1	3	3
200304140006-012	1019	1019	2003/4/14	7	1038307	1	23.8	23.8
200304140006-012	1019	1019	2003/4/14	8	1014515	1	4	4
200304140006-012	1019	1019	2003/4/14	9	1046652	1	4.3	4.3
200304140006-012	1019	1019	2003/4/14	10	1047063	1	4.1	4.1
200304140006-012	1019	1019	2003/4/14	11	1047059	1	3.5	3.5
200304140006-012	1019	1019	2003/4/14	12	1037589	1	16.9	16.9
200304140006-012	1019	1019	2003/4/14	13	1037670	1	37	37
200304140006-012	1019	1019	2003/4/14	16	1044052	2	20.6	41.2
200304140007-012	1019	1019	2003/4/14	1	1036167	1	9.1	9.1
200304140007-012	1019	1019	2003/4/14	2	1002680	1	4.3	4.3
200304140007-012	1019	1019	2003/4/14	3	1041839	1	23.5	23.5
200304140007-012	1019	1019	2003/4/14	4	1041447	1	41.5	41.5
200304140009-012	1019	1019	2003/4/14	1	1010475	1	10	10
200304140009-012	1019	1019	2003/4/14	2	1038656	1	1.6	1.6
200304140009-012	1019	1019	2003/4/14	3	1036070	2	1.6	3.2
200304140009-012	1019	1019	2003/4/14	4	1048803	2	1.5	3
200304140009-012	1019	1019	2003/4/14	5	1007176	2	0.5	1
200304140009-012	1019	1019	2003/4/14	6	1008821	0.222	27	5.994
200304140010-012	1019	1019	2003/4/14	1	1003414	1	4.2	4.2
200304140010-012	1019	1019	2003/4/14	2	1014085	1	2.9	2.9
200304140010-012	1019	1019	2003/4/14	3	1005009	1	3	3
200304140012-012	1019	1019	2003/4/14	1	1022718	0.208	19.6	4.0768
200304140012-012	1019	1019	2003/4/14	3	1018755	1	6.4	6.4
200304140012-012	1019	1019	2003/4/14	4	1035949	1	3.7	3.7
200304140012-012	1019	1019	2003/4/14	5	1006740	3	4.8	14.4
200304140013-012	1019	1019	2003/4/14	1	1044446	15	1	15
200304140013-012	1019	1019	2003/4/14	2	1044444	11	1	11
200304140013-012	1019	1019	2003/4/14	3	1044445	1	1	1
200304140014-012	1019	1019	2003/4/14	2	1040224	1	18.6	18.6
200304140014-012	1019	1019	2003/4/14	3	1005485	3	2.1	6.3
200304140015-012	1019	1019	2003/4/14	1	1027373	1	5.7	5.7
200304140015-012	1019	1019	2003/4/14	2	1004696	1	5.7	5.7
200304140015-012	1019	1019	2003/4/14	3	1001552	1	7	7
200304140015-012	1019	1019	2003/4/14	4	1030813	1	6.9	6.9
200304140017-012	1019	1019	2003/4/14	1	1018244	1	6.5	6.5
200304140017-012	1019	1019	2003/4/14	3	1041250	1	15.9	15.9
200304140017-012	1019	1019	2003/4/14	4	1015922	1	6.9	6.9
200304140017-012	1019	1019	2003/4/14	5	1035333	1	4.3	4.3
200304140017-012	1019	1019	2003/4/14	6	1001989	1	10.8	10.8
200304140017-012	1019	1019	2003/4/14	7	1003637	1	19.9	19.9
200304140017-012	1019	1019	2003/4/14	8	1007851	1	5.4	5.4
200304140017-012	1019	1019	2003/4/14	9	1004995	2	2.1	4.2
200304140017-012	1019	1019	2003/4/14	10	1014783	1	8.5	8.5
200304140017-012	1019	1019	2003/4/14	11	1016020	1	3.8	3.8
200304140018-012	1019	1019	2003/4/14	1	1027335	1	9.6	9.6
200304140018-012	1019	1019	2003/4/14	2	1023651	1	3.5	3.5
200304140018-012	1019	1019	2003/4/14	3	1041765	1	1.8	1.8
200304140018-012	1019	1019	###	4	1041481	1	5.5	5.5
200304140018-012	1019	1019	2003/4/14	5	1041766	1	1.8	1.8
200304140021-012	1019	1019	2003/4/14	1	1035838	1	3.4	3.4
200304140022-012	1019	1019	2003/4/14	1	1027549	1	18.1	18.1
200304140022-012	1019	1019	2003/4/14	2	1025690	0.476	97	46.172
200304140022-012	1019	1019	2003/4/14	7	1002257	1	6	6
200304140022-012	1019	1019	2003/4/14	10	1040119	0.944	18.6	17.5584
200304140022-012	1019	1019	2003/4/14	11	1002830	1	8.7	8.7
200304140022-012	1019	1019	2003/4/14	13	1034795	1	1.9	1.9
200304140022-012	1019	1019	###	14	1040491	1	1.6	1.6
200304140022-012	1019	1019	2003/4/14	15	1039984	1	1.6	1.6
200304140022-012	1019	1019	2003/4/14	16	1044210	1	18.2	18.2
200304140023-012	1019	1019	2003/4/14	2	1048963	1	32.8	32.8
200304140024-012	1019	1019	2003/4/14	1	1022423	0.312	25	7.8
200304140024-012	1019	1019	2003/4/14	2	1035504	1	7.8	7.8
200304140024-012	1019	1019	2003/4/14	3	1039228	1	2	2
200304140024-012	1019	1019	2003/4/14	5	1039028	1	4.5	4.5
200304140024-012	1019	1019	2003/4/14	6	1016446	1	12	12
200304140024-012	1019	1019	2003/4/14	7	1001499	1	4.9	4.9
200304140025-012	1019	1019	2003/4/14	1	1041234	1	11.9	11.9
200304140026-012	1019	1019	2003/4/14	1	1041750	1	125	125
200304140026-012	1019	1019	2003/4/14	2	1033502	1	146	146
200304140026-012	1019	1019	2003/4/14	3	1000848	48	1.9	91.2
